Name,type,log_P,Jmag,Hmag,Kmag,fe_h_lit,fe_h,mu_distance,e_mu_distance,R,e_R,notes,ref
CT Cas,DCEP,0.581,9.455,8.81,8.6,-0.05,-0.08,12.51,0.07,9892,439,c,LIII 
CY Cas,DCEP,1.1577,7.861,7.174,6.903,0.06,0.12,12.69,0.05,9849,432,a,LII 
CZ Cas,DCEP,0.7532,8.622,8.124,7.855,0.07,0.04,12.42,0.07,9621,437,c,LIII 
DD Cas,DCEP,0.9918,7.526,7.067,6.887,0.1,0.16,12.33,0.05,9623,437,a,LII 
DF Cas,DCEP,0.5835,8.488,8.036,7.879,0.13,0.19,11.97,0.07,9873,449,c,LII 
DL Cas,DCEP,0.9031,6.55,6.101,5.892,-0.01,0.05,11.03,0.05,8859,447,a,LII 
DW Cas,DCEP,0.6988,8.195,7.671,7.42,0.06,0.03,11.79,0.07,9103,442,c,LIII 
EX Cas,DCEP,0.634,9.556,8.944,8.742,-0.07,-0.1,12.86,0.07,10202,435,c,LIII 
FM Cas,DCEP,0.7641,7.128,6.747,6.581,-0.09,-0.03,11.33,0.05,8942,445,a,LII 
FO Cas,DCEP,0.8324,11.136,10.529,10.267,-0.56,-0.59,15.02,0.06,15552,459,c,LIII 
FW Cas,DCEP,0.795,9.408,8.716,8.393,-0.09,-0.12,12.92,0.07,10460,440,c,LIII 
GL Cas,DCEP,0.6029,9.778,9.432,9.216,0.03,0,13.42,0.07,11773,449,c,LIII 
GM Cas,DCEP,0.8733,7.823,7.135,6.87,-0.1,-0.13,11.7,0.06,9596,449,c,LIII 
GO Cas,DCEP,0.5104,9.718,9.16,8.898,0.12,0.09,12.61,0.06,10575,449,c,LIII 
HK Cas,DCEP,0.3979,12.016,11.831,11.668,0.45,0.42,15.34,0.07,17296,498,c,LIII 
IO Cas,DCEP,0.7485,11.082,10.612,10.503,-0.49,-0.52,15.16,0.07,16998,499,c,LIII 
KK Cas,DCEP,0.9134,8.632,7.998,7.774,0.13,0.1,12.8,0.07,10043,434,c,LIII 
LT Cas,DCEP,0.7712,9.733,9.264,9.074,-0.36,-0.39,13.77,0.06,12609,454,c,LIII 
NP Cas,DCEP,0.7903,9.584,8.876,8.55,0.01,-0.02,13.05,0.07,10572,436,c,LIII 
